"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 02- 28","290.14","271.67","292.29","271.57","99.01M","7.48%"
"2022- 02- 25","269.96","269.74","273.17","260.80","76.07M","1.14%"
"2022- 02- 24","266.92","233.46","267.49","233.33","135.32M","4.81%"
"2022- 02- 23","254.68","276.81","278.43","253.52","95.26M","-7.00%"
"2022- 02- 22","273.84","278.04","285.58","267.03","83.29M","-4.14%"
"2022- 02- 18","285.66","295.33","295.62","279.20","68.50M","-2.21%"
"2022- 02- 17","292.12","304.42","306.17","291.37","55.18M","-5.09%"
"2022- 02- 16","307.80","304.68","308.81","300.40","51.29M","0.10%"
"2022- 02- 15","307.48","300.00","307.67","297.79","57.65M","5.33%"
"2022- 02- 14","291.92","287.19","299.63","284.38","67.76M","1.83%"
"2022- 02- 11","286.67","303.21","305.32","283.57","79.65M","-4.93%"
"2022- 02- 10","301.52","302.79","314.60","298.90","66.13M","-2.95%"
"2022- 02- 09","310.67","311.67","315.42","306.67","52.26M","1.09%"
"2022- 02- 08","307.33","301.84","308.76","298.27","50.73M","1.61%"
"2022- 02- 07","302.45","307.93","315.92","300.90","60.99M","-1.73%"
"2022- 02- 04","307.77","299.07","312.17","293.72","73.63M","3.61%"
"2022- 02- 03","297.05","294.00","312.33","293.51","78.86M","-1.60%"
"2022- 02- 02","301.89","309.39","310.50","296.47","66.79M","-2.75%"
"2022- 02- 01","310.42","311.74","314.57","301.67","73.14M","-0.58%"
"2022- 01- 31","312.24","290.90","312.66","287.35","104.44M","10.68%"
"2022- 01- 28","282.12","277.19","285.83","264.00","134.79M","2.08%"
"2022- 01- 27","276.37","311.12","311.80","276.33","147.11M","-11.55%"
"2022- 01- 26","312.47","317.48","329.23","302.00","104.87M","2.07%"
"2022- 01- 25","306.13","304.73","317.09","301.07","86.60M","-1.25%"
"2022- 01- 24","310.00","301.59","311.17","283.82","152.38M","-1.47%"
"2022- 01- 21","314.63","332.11","334.85","313.50","103.42M","-5.26%"
"2022- 01- 20","332.09","336.58","347.22","331.33","70.49M","0.06%"
"2022- 01- 19","331.88","347.23","351.56","331.67","75.44M","-3.38%"
"2022- 01- 18","343.50","342.20","356.93","338.69","66.99M","-1.82%"
"2022- 01- 14","349.87","339.96","350.67","337.79","72.92M","1.75%"
"2022- 01- 13","343.85","369.69","371.87","342.18","97.21M","-6.75%"
"2022- 01- 12","368.74","359.62","371.61","357.53","83.74M","3.93%"
"2022- 01- 11","354.80","351.22","358.62","346.27","66.06M","0.59%"
"2022- 01- 10","352.71","333.33","353.03","326.67","91.81M","3.04%"
"2022- 01- 07","342.32","360.12","360.31","336.67","84.16M","-3.54%"
"2022- 01- 06","354.90","359.00","362.67","340.17","90.34M","-2.15%"
"2022- 01- 05","362.71","382.22","390.11","360.34","80.12M","-5.35%"
"2022- 01- 04","383.20","396.52","402.67","374.35","100.25M","-4.18%"
"2022- 01- 03","399.93","382.58","400.36","378.68","104.69M","13.53%"
"2021- 12- 31","352.26","357.81","360.67","351.53","40.73M","-1.27%"
"2021- 12- 30","356.78","353.78","365.18","351.05","47.04M","-1.46%"
"2021- 12- 29","362.06","366.21","368.00","354.71","56.15M","-0.21%"
"2021- 12- 28","362.82","369.83","373.00","359.47","60.32M","-0.50%"
"2021- 12- 27","364.65","357.89","372.33","356.90","71.15M","2.52%"
"2021- 12- 23","355.67","335.60","357.66","332.52","92.71M","5.76%"
"2021- 12- 22","336.29","321.89","338.55","319.02","93.63M","7.50%"
"2021- 12- 21","312.84","305.62","313.17","295.37","71.52M","4.29%"
"2021- 12- 20","299.98","303.57","307.23","297.80","56.48M","-3.50%"
"2021- 12- 17","310.86","304.92","320.22","303.01","100.88M","0.61%"
"2021- 12- 16","308.97","331.50","331.66","307.28","82.77M","-5.03%"
"2021- 12- 15","325.33","317.74","326.25","309.42","75.17M","1.82%"
"2021- 12- 14","319.50","315.00","322.14","310.00","70.81M","-0.82%"
"2021- 12- 13","322.14","333.70","335.00","317.14","78.60M","-4.98%"
"2021- 12- 10","339.01","336.25","340.33","327.51","59.66M","1.32%"
"2021- 12- 09","334.60","353.55","354.16","334.12","59.44M","-6.10%"
"2021- 12- 08","356.32","350.90","357.46","344.33","41.91M","1.64%"
"2021- 12- 07","350.58","348.07","352.56","342.27","56.08M","4.23%"
"2021- 12- 06","336.34","333.84","340.55","316.83","81.66M","-0.59%"
"2021- 12- 03","338.32","361.60","363.52","333.40","92.32M","-6.42%"
"2021- 12- 02","361.53","366.35","371.00","352.22","73.11M","-0.95%"
"2021- 12- 01","365.00","386.90","390.95","363.59","68.80M","-4.35%"
"2021- 11- 30","381.59","381.46","389.33","372.67","81.28M","0.68%"
"2021- 11- 29","379.00","367.00","380.89","366.73","58.39M","5.09%"
"2021- 11- 26","360.64","366.49","369.59","360.33","35.04M","-3.05%"
"2021- 11- 24","372.00","360.13","377.59","354.00","67.68M","0.63%"
"2021- 11- 23","369.68","389.17","393.50","354.23","108.52M","-4.13%"
"2021- 11- 22","385.62","387.44","400.65","377.48","99.22M","1.74%"
"2021- 11- 19","379.02","366.29","379.57","364.23","64.93M","3.71%"
"2021- 11- 18","365.46","368.85","370.67","358.34","62.70M","0.68%"
"2021- 11- 17","363.00","354.50","373.21","351.83","94.34M","3.25%"
"2021- 11- 16","351.58","334.44","352.40","334.06","79.63M","4.08%"
"2021- 11- 15","337.80","339.21","343.99","326.20","104.33M","-1.94%"
"2021- 11- 12","344.47","349.17","351.50","339.73","76.72M","-2.83%"
"2021- 11- 11","354.50","367.59","368.32","351.56","67.19M","-0.42%"
"2021- 11- 10","355.98","336.80","359.37","329.10","128.41M","4.34%"
"2021- 11- 09","341.17","391.20","391.50","337.17","177.32M","-11.99%"
"2021- 11- 08","387.65","383.26","399.00","377.67","100.34M","-4.84%"
"2021- 11- 05","407.36","409.33","413.29","402.67","64.89M","-0.64%"
"2021- 11- 04","409.97","411.47","414.50","405.67","76.19M","1.32%"
"2021- 11- 03","404.62","392.44","405.13","384.21","103.89M","3.57%"
"2021- 11- 02","390.67","386.45","402.86","382.00","128.21M","-3.03%"
"2021- 11- 01","402.86","381.67","403.25","372.89","168.15M","8.49%"
"2021- 10- 29","371.33","360.62","371.74","357.73","89.76M","3.43%"
"2021- 10- 28","359.01","356.10","360.33","351.40","81.64M","3.78%"
"2021- 10- 27","345.95","346.55","356.96","343.59","115.58M","1.91%"
"2021- 10- 26","339.48","341.56","364.98","333.81","187.25M","-0.63%"
"2021- 10- 25","341.62","316.84","348.34","314.73","188.56M","12.66%"
"2021- 10- 22","303.23","298.50","303.33","296.99","68.64M","1.76%"
"2021- 10- 21","298.00","285.33","300.00","285.17","94.44M","3.26%"
"2021- 10- 20","288.60","288.45","289.83","285.79","42.10M","0.18%"
"2021- 10- 19","288.09","292.51","292.65","287.50","52.14M","-0.67%"
"2021- 10- 18","290.04","283.93","291.75","283.82","72.62M","3.21%"
"2021- 10- 15","281.01","274.58","281.07","274.12","56.77M","3.02%"
"2021- 10- 14","272.77","271.83","273.42","271.12","36.74M","0.89%"
"2021- 10- 13","270.36","270.16","271.80","268.59","42.36M","0.67%"
"2021- 10- 12","268.57","266.98","270.77","265.52","66.06M","1.74%"
"2021- 10- 11","263.98","262.55","267.08","261.83","42.60M","0.82%"
"2021- 10- 08","261.83","265.40","265.46","260.30","50.22M","-1.02%"
"2021- 10- 07","264.54","261.82","268.33","261.13","57.59M","1.39%"
"2021- 10- 06","260.92","258.73","262.22","257.74","43.90M","0.28%"
"2021- 10- 05","260.20","261.60","265.77","258.07","55.30M","-0.12%"
"2021- 10- 04","260.51","265.50","268.99","258.71","91.45M","0.81%"
"2021- 10- 01","258.41","259.47","260.26","254.53","51.09M","-0.03%"
"2021- 09- 30","258.49","260.33","263.04","258.33","53.87M","-0.75%"
"2021- 09- 29","260.44","259.93","264.50","256.89","62.83M","0.48%"
"2021- 09- 28","259.19","262.40","265.21","255.39","76.14M","-1.74%"
"2021- 09- 27","263.79","257.71","266.33","256.44","84.21M","2.19%"
"2021- 09- 24","258.13","248.63","258.27","248.19","64.12M","2.75%"
"2021- 09- 23","251.21","251.67","252.73","249.31","35.84M","0.22%"
"2021- 09- 22","250.65","247.84","251.22","246.37","45.38M","1.70%"
"2021- 09- 21","246.46","244.93","248.25","243.48","48.99M","1.26%"
"2021- 09- 20","243.39","244.85","247.33","239.54","74.27M","-3.86%"
